playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,WAR
lugoma01,2025,1,LAA,AL,31,69,9,16,2,1,4,9.0,0.0,0.0,0,24.0,0.0,1.0,0.0,0.0,3.0,-0.5
lugose01,2021,1,NYN,NL,46,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
lukesna01,2023,1,TOR,AL,29,26,4,5,1,1,0,2.0,0.0,0.0,4,9.0,0.0,0.0,0.0,1.0,1.0,0.0
lukesna01,2024,1,TOR,AL,22,76,13,23,4,2,1,10.0,1.0,0.0,10,9.0,0.0,0.0,2.0,3.0,1.0,1.2
lukesna01,2025,1,TOR,AL,135,388,55,99,19,2,12,65.0,2.0,4.0,38,60.0,2.0,2.0,7.0,3.0,12.0,2.0
luplojo01,2020,1,CLE,AL,29,78,8,15,5,1,2,8.0,0.0,1.0,12,19.0,0.0,1.0,0.0,1.0,3.0,-0.1
luplojo01,2021,1,CLE,AL,36,98,12,17,5,0,7,20.0,0.0,2.0,21,31.0,0.0,2.0,0.0,0.0,1.0,0.4
luplojo01,2021,2,TBA,AL,26,65,11,16,3,0,4,8.0,1.0,0.0,7,26.0,0.0,0.0,0.0,0.0,1.0,0.2
luplojo01,2022,1,ARI,NL,83,205,26,36,5,0,11,28.0,5.0,1.0,25,60.0,1.0,3.0,0.0,1.0,5.0,0.0
luplojo01,2023,1,TOR,AL,7,14,1,3,0,0,0,1.0,0.0,0.0,3,8.0,1.0,0.0,0.0,0.0,0.0,-0.1
luplojo01,2023,2,MIN,AL,32,63,10,13,3,0,2,4.0,2.0,0.0,9,19.0,0.0,1.0,0.0,0.0,1.0,0.1
luxga01,2020,1,LAN,NL,19,63,8,11,2,0,3,8.0,1.0,0.0,6,19.0,0.0,0.0,0.0,0.0,0.0,0.6
luxga01,2021,1,LAN,NL,102,335,49,81,12,4,7,46.0,4.0,1.0,41,83.0,3.0,3.0,0.0,2.0,3.0,1.5
luxga01,2022,1,LAN,NL,129,421,66,116,20,7,6,42.0,7.0,2.0,47,95.0,0.0,0.0,0.0,3.0,3.0,2.8
luxga01,2024,1,LAN,NL,139,439,59,110,24,2,10,50.0,5.0,2.0,44,110.0,0.0,2.0,0.0,2.0,8.0,2.0
luxga01,2025,1,CIN,NL,140,446,49,120,28,2,5,53.0,1.0,0.0,56,114.0,0.0,0.0,0.0,1.0,3.0,-0.2
